doc_id,clause_id,clause_text
amazon_prime_tos_2020,001,Please note that your use of the Amazon.com website and Prime membership are also governed by the agreements listed and linked to below as well as all other applicable terms conditions limitations and requirements on the Amazon.com website all of which (as changed over time) are incorporated into these Terms.
amazon_prime_tos_2020,002,"Membership Cancellation If you signed-up for your Prime membership directly through us you may cancel your Prime membership any time by visiting Your Account and adjusting your membership settings."
amazon_prime_tos_2020,003,If you cancel within 3 business days of signing up for or converting from a free trial to a paid membership we will refund your full membership fee. provided that we may charge you (or withhold from your refund) the value of Prime benefits used by you and your account during this 3-business day period.
amazon_prime_tos_2020,004,If you cancel at any other time we will refund your full membership fee only if you and your account did not make any eligible purchases or take advantage of Prime benefits since your latest Prime membership charge.
amazon_prime_tos_2020,005,If you signed up for your Prime membership through a third party you may need to contact the third party to cancel your membership or receive any refund under its applicable policies.
amazon_prime_tos_2020,006,Products eligible for Prime will be designated as such on their product pages.
amazon_prime_tos_2020,007,Some special product order handling fees and/or taxes may still apply to eligible purchases.
amazon_prime_tos_2020,008,If only some items in your order are eligible for Prime you will pay applicable shipping charges for the ineligible items.
amazon_prime_tos_2020,009,Certain purchases may only be entitled to Standard Shipping because of their size weight and other shipping characteristics.
amazon_prime_tos_2020,010,We may exclude products with special shipping characteristics at our discretion.
amazon_prime_tos_2020,011,We also offer Prime members supplemental memberships which are subject to these Terms require you to be a Prime member and may have additional fees and terms.
amazon_prime_tos_2020,012,From time to time we may offer different membership terms and the fees for such membership may vary.
amazon_prime_tos_2020,013,Taxes may apply on either or both of the membership fee and the reduced shipping charges for Prime.
amazon_prime_tos_2020,014,If you sign up for your Prime membership through us and are billed by us then the billing terms described below will apply to your membership.
amazon_prime_tos_2020,015,If all eligible payment methods we have on file for you are declined for payment of your membership fee you must provide us a new eligible payment method promptly or your membership will be canceled.
amazon_prime_tos_2020,016,If you provide us with a new eligible payment method and are successfully charged your new membership period will be based on the original renewal date and not the date of the successful charge.
amazon_prime_tos_2020,017,If you signed up for your Prime membership through a third party and are not billed directly by us then the billing terms provided by the third party will apply to your membership.
amazon_prime_tos_2020,018,Trial members may at any time (through Your Account) choose not to continue to paid membership at the end of the trial period.
amazon_prime_tos_2020,019,If you sign up for a qualification-based Prime membership (including but not limited to Prime Student and Prime for qualifying customers with an EBT or Medicaid card) you will receive certain Prime benefits for the reduced rate specified in the Prime section of our Help page.
amazon_prime_tos_2020,020,To sign up for and use a qualification-based Prime membership you must meet the eligibility conditions described on the applicable enrollment page and provide any required documentation.
amazon_prime_tos_2020,021,Agreement Changes We may in our discretion change these Terms Amazon.com's Conditions of Use and Privacy Notice or any aspect of Prime membership without notice to you.
amazon_prime_tos_2020,022,Termination by Us We may terminate your Prime membership at our discretion without notice.
amazon_prime_tos_2020,023,If we do so we will give you a prorated refund based on the number of full months remaining in your membership.
amazon_prime_tos_2020,024,However we will not give any refund for termination related to conduct that we determine in our discretion violates these Terms or any applicable law involves fraud or misuse of the Prime membership or is harmful to our interests or another user.
amazon_prime_tos_2020,025,Our failure to insist upon or enforce your strict compliance with these Terms will not constitute a waiver of any of our rights.
amazon_prime_tos_2020,026,Disputes Any dispute or claim relating in any way to these Terms or your use of Prime or to any products or services sold or distributed by Amazon or through Amazon.com will be resolved by binding arbitration rather than in court except that you may assert claims in small claims court if your claims qualify.
amazon_prime_tos_2020,027,However an arbitrator can award on an individual basis the same damages and relief as a court (including injunctive and declaratory relief or statutory damages) and must follow the terms of these Conditions of Use as a court would.
